id,address,longitude,latitude,capacity,has_kiosk,station_type
3115,India St & Manhattan Ave,-73.9550858,40.73232194,50,True,classic
3116,Huron St & Franklin St,-73.95826,40.73266,35,True,classic
3117,Franklin St & Dupont St,-73.95866,40.73564,27,True,classic
3118,McGuinness Blvd & Eagle St,-73.95284,40.73555,42,True,classic
3119,Vernon Blvd & 50 Ave,-73.95411749,40.74232744,45,True,classic
3121,Jackson Ave & 46 Rd,-73.94733276,40.74524768,27,True,classic
3122,48 Ave & 5 St,-73.9558732509613,40.744363287066875,31,True,classic
3123,31 St & Thomson Ave,-73.93540375,40.74469738,27,True,classic
3124,46 Ave & 5 St,-73.95451,40.74731,27,True,classic
3125,45 Rd & 11 St,-73.94977234,40.74708586,23,True,classic
3126,44 Dr & Jackson Ave,-73.9432635,40.74718234,34,True,classic
3127,9 St & 44 Rd,-73.9521,40.74966,35,True,classic
3128,21 St & 43 Ave,-73.94594845,40.75052534,23,True,classic
3129,Queens Plaza North & Crescent St,-73.94073717,40.75110165,31,True,classic
3130,21 St & Queens Plaza North,-73.94335788,40.75325964,31,True,classic
3131,E 68 St & 3 Ave,-73.96224617958069,40.76712840349542,31,True,classic
3132,E 59 St & Madison Ave,-73.97109243,40.76350532,35,True,classic
3134,3 Ave & E 62 St,-73.96526895,40.76312584,51,True,classic
3135,E 75 St & 3 Ave,-73.95772297,40.77112927,41,True,classic
3136,5 Ave & E 63 St,-73.971518,40.766368,47,True,classic
3137,5 Ave & E 73 St,-73.96685276,40.77282817,31,True,classic
3139,E 72 St & Park Ave,-73.96409422159195,40.77118287540658,43,True,classic
3140,1 Ave & E 78 St,-73.9535166,40.77140426,55,True,classic
3141,1 Ave & E 68 St,-73.95818491,40.76500525,58,True,classic
3142,1 Ave & E 62 St,-73.96094022,40.7612274,41,True,classic
3143,5 Ave & E 78 St,-73.96427392959595,40.77632142182271,47,True,classic
3144,E 81 St & Park Ave,-73.9590097,40.77677702,46,True,classic
3145,E 84 St & Park Ave,-73.95772073,40.77862688,45,True,classic
3146,E 81 St & 3 Ave,-73.9567526,40.77573034,47,True,classic
3147,E 85 St & 3 Ave,-73.95407149,40.77801203,39,True,classic
3148,E 84 St & 1 Ave,-73.95068615,40.77565541,31,True,classic
3150,E 85 St & York Ave,-73.94803392,40.77536905,47,True,classic
3151,E 81 St & York Ave,-73.94989233,40.7728384,43,True,classic
3152,3 Ave & E 71 St,-73.96119945,40.76873687,42,True,classic
3154,E 77 St & 3 Ave,-73.95856158,40.77314236,31,True,classic
3156,E 72 St & York Ave,-73.95348296,40.76663814,37,True,classic
3157,East End Ave & E 86 St,-73.94446054,40.77518615,27,True,classic
3158,W 63 St & Broadway,-73.98261428,40.77163851,31,True,classic
3159,W 67 St & Broadway,-73.98266566,40.77492513,31,True,classic
3160,Central Park West & W 76 St,-73.97374737,40.77896784,39,True,classic
3161,W 76 St & Columbus Ave,-73.97728532552719,40.7801839724239,59,True,classic
3163,Central Park West & W 68 St,-73.97782542,40.7734066,43,True,classic
3164,Columbus Ave & W 72 St,-73.97898475,40.7770575,67,True,classic
3165,Central Park West & W 72 St,-73.9762057363987,40.77579376683666,51,True,classic
3166,Riverside Dr & W 72 St,-73.98562431335449,40.78057799010334,41,True,classic
3167,Amsterdam Ave & W 73 St,-73.98093044757842,40.77966809007312,55,True,classic
3168,Central Park West & W 85 St,-73.96961715,40.78472675,31,True,classic
3169,Riverside Dr & W 82 St,-73.98128127,40.78720869,39,True,classic
3170,W 84 St & Columbus Ave,-73.97283406,40.78499979,35,True,classic
3171,Amsterdam Ave & W 82 St,-73.97667321,40.78524672,39,True,classic
3172,W 74 St & Columbus Ave,-73.97754961,40.7785669,27,True,classic
3173,Riverside Blvd & W 67 St,-73.98888587951659,40.777507027547976,39,True,classic
3175,W 70 St & Amsterdam Ave,-73.98288594,40.77748046,31,True,classic
3177,W 84 St & Broadway,-73.977112,40.7867947,63,True,classic
3178,Riverside Dr & W 78 St,-73.98362492,40.78414472,39,True,classic
3179,Park Ave & Marcus Garvey Blvd,-73.941342,40.698617,23,True,classic
3184,Paulus Hook,-74.0335519,40.7141454,14,True,classic
3185,City Hall,-74.043845,40.7177325,22,True,classic
3186,Grove St PATH,-74.04311746358871,40.71958611647166,42,True,classic
3187,Warren St,-74.03805095,40.7211236,22,True,classic
3191,Union St,-74.0836394,40.7182113,18,True,classic
3192,Liberty Light Rail,-74.0557013,40.7112423,22,True,classic
3193,Lincoln Park,-74.07840594649315,40.7246050998869,18,True,classic
3194,McGinley Square,-74.06762212514877,40.7253399253558,22,True,classic
